Number;Time;Date;Latitude;Longitude;Altitude;Acc_x;Acc_y;Acc_z;Gyr_x;Gyr_y;Gyr_z;Mag_x;Mag_y;Mag_z
866;08:59:48.573559;20.02.2023;49.206325618817516;18.76672389400145;369.74435285679454;0.06137782669712418;0.11908360221521239;-9.81;0.0;0.0;6.350475700855895e-13;-1.441908374614102;17.4981341230054;37.90362077354527
867;08:59:48.673559;20.02.2023;49.20631905248835;18.76671813337356;369.74435285679454;0.04808655541999785;0.09329623653492813;-9.81;0.0;0.0;2.353672812205332e-13;-1.4419080365030388;17.498137158180235;37.90361702992053
868;08:59:48.773559;20.02.2023;49.20631246614478;18.76671235518885;369.74435285679454;0.01176225697954031;0.02282081342202897;-9.81;0.0;0.0;-6.483702463810914e-13;-1.4419076973615477;17.498140202606425;37.90361327488425
869;08:59:48.873559;20.02.2023;49.206305842138704;18.766706543964702;369.74435285679454;0.022134012933823093;0.04294381429704999;-9.81;0.0;0.0;1.2434497875801753e-13;-1.4419073562809082;17.49814326444162;37.903609498374976
870;08:59:48.973559;20.02.2023;49.20629916379135;18.766700685068958;369.74435285679454;0.03193607318462085;0.061961506949405165;-9.81;0.0;0.0;2.398081733190338e-13;-1.4419070124023012;17.498146351395278;37.90360569088351
871;08:59:49.073559;20.02.2023;49.206292468255626;18.76669481109573;369.74435285679454;0.01010139864569381;0.01959846092428397;-9.81;0.0;0.0;2.708944180085382e-13;-1.4419066676387953;17.49814944629405;37.90360187359171
872;08:59:49.173559;20.02.2023;49.206285887953285;18.76668903821822;369.74435285679454;-0.06772260695907699;-0.13139357357646134;-9.81;0.0;0.0;-5.639932965095795e-13;-1.441906328808987;17.498152487928277;37.90359812199656
873;08:59:49.273559;20.02.2023;49.2062792914963;18.76668325117009;369.74435285679454;0.009493877599110332;0.018419764992189475;-9.81;0.0;0.0;3.3306690738754696e-13;-1.4419059891474977;17.4981555370298;37.90359436119042
874;08:59:49.373559;20.02.2023;49.2062726499474;18.7666774245648;369.74435285679454;0.026500251631876044;0.05141507273474741;-9.81;0.0;0.0;8.881784197001252e-14;-1.441905647164312;17.498158606974396;37.90359057467538
875;08:59:49.473559;20.02.2023;49.20626586453154;18.76667147174747;369.74435285679454;0.08455012481840275;0.1640418694002573;-9.81;0.0;0.0;-2.0872192862952943e-13;-1.441905297773363;17.498161743419217;37.90358670613742
876;08:59:49.573559;20.02.2023;49.20625914698988;18.766665578477767;369.74435285679454;-0.03988970346219462;-0.07739292567355423;-9.81;0.0;0.0;1.6431300764452317e-13;-1.4419049518775093;17.498164848490422;37.90358287629539
877;08:59:49.673559;20.02.2023;49.206252424874414;18.76665968119736;369.74435285679454;0.0026878314340065016;0.005214857979384872;-9.81;0.0;0.0;1.021405182655144e-13;-1.4419046057463034;17.49816795567591;37.90357904384492
878;08:59:49.773559;20.02.2023;49.206245724832925;18.766653803284214;369.74435285679454;-0.012973007915109172;-0.025169879698103477;-9.81;0.0;0.0;1.687538997430238e-13;-1.4419042607518704;17.498171052658186;37.90357522397853
